Response,Group_By,Group_Levels,N,Mean,SD,SE,Min,Max
Solubilitas,PVA,3,18,0.4389044888361653,0.1015515600637079,0.0239359322537069,0.3157894736842111,0.5543478260869573
Solubilitas,Plasticizer,Gliserol,27,0.5822669758740954,0.0640267089610833,0.0123219458846691,0.5031055900621114,0.6886792452830196
Solubilitas,Plasticizer,Sorbitol,24,0.4391577075681425,0.1182769020644357,0.0241431715345838,0.3157894736842111,0.6351351351351363
Solubilitas,Formulation,B,6,0.6553789552549373,0.034740057090872,0.0141825689179655,0.617283950617285,0.6886792452830196
Solubilitas,Formulation,C,6,0.5849711826318212,0.0132208385113929,0.0053973847207749,0.5689655172413809,0.6041666666666686
Solubilitas,Formulation,D,6,0.4543487378173185,0.0866884562629455,0.0353904140722989,0.3697478991596642,0.5384615384615409
Solubilitas,Formulation,F,3,0.6476273349576526,0.004601921741888,0.0026569207564686,0.6449704142011832,0.6529411764705899
Solubilitas,Formulation,G,6,0.5389031068680826,0.0176124157110188,0.0071902386049623,0.5214285714285702,0.562500000000001
Solubilitas,Formulation,H,6,0.428012415882482,0.1028701938156748,0.0419965807649355,0.3333333333333327,0.5263157894736837
Solubilitas,Formulation,J,6,0.5327976047317454,0.1441226907927968,0.0588378421332112,0.3933333333333327,0.6648936170212769
Solubilitas,Formulation,K,6,0.4242542382320908,0.0911448617003198,0.0372097339737208,0.3383084577114428,0.5096774193548411
